payload,label,source
C1F3B5BB8E090C2EA95AC49CC5C74377,Normal,csic_gsi:cisc_normalTraffic_train.txt
Autol,Normal,csic_gsi:cisc_normalTraffic_test.txt
Sanmartin+Cabane,Normal,csic_gsi:cisc_normalTraffic_test.txt
ACFABBD00D7A4461D7D353F1BCDCCEE5,Normal,csic_gsi:cisc_normalTraffic_train.txt
%22%7C%20%5B%207%20-ne%20%24%28echo%20SYHTME%20%7C%20tr%20-d%20%27%5Cn%27%20%7C%20wc%20-c%29%20%5D%20%7C%7C%20sleep%201%20//,CMD,seclists_cmd
""";echo$IFSAJPXYF$((20%2B50))$(echo$IFSAJPXYF)AJPXYF%26",CMD,seclists_cmd
1A73420B11849F85E9541241E17D3657,Normal,csic_gsi:cisc_normalTraffic_train.txt
&echo$IFSOCUZHX$((85%2B82))$(echo$IFSOCUZHX)OCUZHX//,CMD,seclists_cmd
91873114M,Normal,csic_gsi:cisc_normalTraffic_test.txt
5E15F153BC61125BEFFB4B63C6AFC0F1,Normal,csic_gsi:cisc_normalTraffic_test.txt
Cresp�+Zarzosa,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
"modo=registro&login=xi-xian9&password=p?erspicacidad&nombre=Geraldo&apellidos=Pedrol&email=chalon@ingenelec.gl&dni=10207822P&direccion=C/+Paloma,+197+&ciudad=Laguna+Dalga&cp=47520&provincia=Pontevedra&ntc=331994682613323&B1=Registrar",SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
"modo=registro&login=babatund&password=pA6OMer9-A&nombre=Juana+del+Pilar&apellidos=Luna+Barberan&email=mazurowna@wdsl.om&dni=19546963E&direccion=Villadangos+Del+Paramo,+82,+&ciudad=Encinas+de+Esgueva&cp=any%0D%0ASet-cookie%3A+Tamper%3D5765205567234876235&provincia=Alicante&ntc=5365738910346806&B1=Registrar",SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
"&&echo%20QTDSQL$((20%2B35))$(echo%20QTDSQL)QTDSQL""",CMD,seclists_cmd
A4D1080610819E28E5E15426D19CBFE9,Normal,csic_gsi:cisc_normalTraffic_train.txt
C73E1BC70C7CC96BFAFCAFBE56E8D33D,Normal,csic_gsi:cisc_normalTraffic_train.txt
147FFCEAD6D7FC1D3F1E7A070C3C96F8,Normal,csic_gsi:cisc_normalTraffic_test.txt
5B16C25E59D5F30532DE6794DA520D7E,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
2227850098385549,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
484E2BA3C15DA4D9479D9C25DA57C33C,Normal,csic_gsi:cisc_normalTraffic_train.txt
%2527%26%20sleep%200%20%26%26%20str%3D%24%28echo%20KJBKAZ%29%20%26%26%20str1%3D%24%7B%23str%7D%20%26%26%20%5B%205%20-eq%20%24%7Bstr1%7D%20%5D%20%26%26%20sleep%201%20,SQLi,community:payloads_seed
