{'loss': 2.0385, 'grad_norm': 2.769709825515747, 'learning_rate': 4.976e-05, 'epoch': 0.02}
{'loss': 1.9928, 'grad_norm': 2.287083625793457, 'learning_rate': 4.9493333333333336e-05, 'epoch': 0.03}
{'loss': 1.9349, 'grad_norm': 2.416032552719116, 'learning_rate': 4.9226666666666674e-05, 'epoch': 0.05}
{'loss': 1.8572, 'grad_norm': 3.0564510822296143, 'learning_rate': 4.896e-05, 'epoch': 0.06}
{'loss': 1.8175, 'grad_norm': 3.2711408138275146, 'learning_rate': 4.869333333333334e-05, 'epoch': 0.08}
{'loss': 1.7824, 'grad_norm': 2.8057873249053955, 'learning_rate': 4.842666666666667e-05, 'epoch': 0.1}
{'loss': 1.6994, 'grad_norm': 3.7001891136169434, 'learning_rate': 4.816e-05, 'epoch': 0.11}
{'loss': 1.6289, 'grad_norm': 2.62459659576416, 'learning_rate': 4.789333333333334e-05, 'epoch': 0.13}
{'loss': 1.5871, 'grad_norm': 3.027445077896118, 'learning_rate': 4.762666666666667e-05, 'epoch': 0.14}
{'loss': 1.4941, 'grad_norm': 3.303485631942749, 'learning_rate': 4.736000000000001e-05, 'epoch': 0.16}
{'loss': 1.4953, 'grad_norm': 3.0860743522644043, 'learning_rate': 4.709333333333333e-05, 'epoch': 0.18}
{'loss': 1.421, 'grad_norm': 3.0984530448913574, 'learning_rate': 4.682666666666667e-05, 'epoch': 0.19}
{'loss': 1.3592, 'grad_norm': 4.108123302459717, 'learning_rate': 4.656e-05, 'epoch': 0.21}
{'loss': 1.3033, 'grad_norm': 2.6678051948547363, 'learning_rate': 4.629333333333333e-05, 'epoch': 0.22}
{'loss': 1.2652, 'grad_norm': 2.9790091514587402, 'learning_rate': 4.602666666666667e-05, 'epoch': 0.24}
{'loss': 1.2146, 'grad_norm': 3.5034866333007812, 'learning_rate': 4.576e-05, 'epoch': 0.26}
{'loss': 1.154, 'grad_norm': 2.9433207511901855, 'learning_rate': 4.549333333333334e-05, 'epoch': 0.27}
{'loss': 1.1376, 'grad_norm': 3.2943267822265625, 'learning_rate': 4.5226666666666665e-05, 'epoch': 0.29}
{'loss': 1.1001, 'grad_norm': 4.614162445068359, 'learning_rate': 4.496e-05, 'epoch': 0.3}
{'loss': 1.051, 'grad_norm': 3.9271585941314697, 'learning_rate': 4.4693333333333335e-05, 'epoch': 0.32}
{'loss': 1.0108, 'grad_norm': 2.5435233116149902, 'learning_rate': 4.4426666666666666e-05, 'epoch': 0.34}
{'loss': 0.9481, 'grad_norm': 2.9511353969573975, 'learning_rate': 4.4160000000000004e-05, 'epoch': 0.35}
{'loss': 0.9864, 'grad_norm': 3.785665512084961, 'learning_rate': 4.3893333333333335e-05, 'epoch': 0.37}
{'loss': 0.8878, 'grad_norm': 2.7313950061798096, 'learning_rate': 4.3626666666666674e-05, 'epoch': 0.38}
{'loss': 0.8793, 'grad_norm': 2.725478172302246, 'learning_rate': 4.336e-05, 'epoch': 0.4}
{'loss': 0.8223, 'grad_norm': 2.4880876541137695, 'learning_rate': 4.3093333333333336e-05, 'epoch': 0.42}
{'loss': 0.8055, 'grad_norm': 2.773010492324829, 'learning_rate': 4.282666666666667e-05, 'epoch': 0.43}
{'loss': 0.7907, 'grad_norm': 2.5374886989593506, 'learning_rate': 4.256e-05, 'epoch': 0.45}
